Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Achillea millefolium;Xixon;Ach_mil_Xix;2022;208;208;124;152;100;201;77;94;222;82;208;75;362;NA
Achillea millefolium;Tuebingen;Ach_mil_Tue;2022;12;5;181;209;65;230;49;243;272;262;5;95;355;NA
Achillea millefolium;Jena;Ach_mil_Jen;2022;5;5;144;179;90;250;106;214;354;179;354;100;354;NA
Achillea millefolium;Potsdam;Ach_mil_Pot;2022;33;41;195;195;100;271;76;230;257;236;13;65;355;NA
Achillea millefolium;Srinagar;Ach_mil_Sri;2022;39;46;137;158;90;193;56;200;276;200;340;100;340;NA
Achillea millefolium;Halle;Ach_mil_Hal;2022;NA;11;153;181;100;208;55;NA;NA;208;294;80;355;NA
Achillea millefolium;Vienna;Ach_mil_Vie;2022;33;5;5;187;80;335;330;222;335;154;361;95;361;NA
Achillea millefolium;Prague;Ach_mil_Pra;2022;NA;83;174;188;90;314;140;230;314;258;314;15;328;NA
Aconitum carmichaeli;Potsdam;Aco_car_Pot;2022;41;55;NA;NA;NA;NA;NA;NA;NA;208;306;100;355;NA
Aconitum lycoctonum;Jena;Aco_lyc_Jen;2022;75;103;179;201;80;222;43;214;292;208;306;100;354;NA
Aconitum lycoctonum;Halle;Aco_lyc_Hal;2022;11;67;131;153;70;181;50;174;244;174;355;100;355;NA
Aconitum lycoctonum;Vienna;Aco_lyc_Vie;2022;60;76;160;181;50;208;48;215;361;166;361;100;361;NA
Aconitum lycoctonum;Tuebingen;Aco_lyc_Tue;2022;55;90;124;159;60;159;35;173;194;194;355;100;355;NA
Aconitum lycoctonum;Prague;Aco_lyc_Pra;2022;83;90;174;181;40;195;21;217;237;237;279;10;279;NA
Acorus calamus;Prague;Aco_cal_Pra;2022;90;97;NA;NA;NA;NA;NA;NA;NA;230;300;95;328;NA
Acorus calamus;Berlin;Aco_cal_Ber;2022;54;103;NA;NA;NA;NA;NA;NA;NA;166;242;60;242;NA
Acorus calamus;Halle;Aco_cal_Hal;2022;11;81;145;153;90;153;8;208;230;193;355;100;355;NA
Acorus calamus;Leipzig;Aco_cal_Lei;2022;NA;NA;124;NA;152;NA;NA;208;201;236;243;NA;NA;NA
Acorus calamus;Jena;Aco_cal_Jen;2022;103;109;137;137;50;137;0;173;180;152;271;90;271;NA
Acorus calamus;Potsdam;Aco_cal_Pot;2022;55;61;139;144;100;181;42;NA;NA;174;264;100;355;NA
Acorus calamus;Trondheim;Aco_cal_Tro;2022;90;90;NA;NA;NA;NA;NA;NA;NA;227;248;20;248;NA
Actaea kashmiriana;Srinagar;Act_kas_Sri;2022;74;81;172;200;90;214;42;228;242;193;228;100;242;NA
Actaea spicata;Vienna;Act_spi_Vie;2022;111;118;132;132;75;174;42;174;361;208;293;100;300;NA
Actaea spicata;Berlin;Act_spi_Ber;2022;116;131;131;137;80;187;56;179;249;214;249;50;249;NA
Actaea spicata;Prague;Act_spi_Pra;2022;90;125;132;132;30;132;0;188;244;230;279;90;279;NA
Actaea spicata;Jena;Act_spi_Jen;2022;82;103;124;131;50;173;49;173;292;243;306;100;354;NA
Adonis amurensis;Leipzig;Ado_amu_Lei;2022;NA;NA;54;NA;54;NA;NA;75;NA;124;131;NA;NA;NA
Adonis vernalis;Vienna;Ado_ver_Vie;2022;60;87;87;87;25;109;22;NA;NA;206;269;100;269;NA
Adonis vernalis;Jena;Ado_ver_Jen;2022;96;109;NA;NA;NA;NA;NA;NA;NA;202;265;100;354;NA
Adonis vernalis;Potsdam;Ado_ver_Pot;2022;61;75;103;118;100;139;36;NA;NA;160;244;100;320;NA
Adonis vernalis;Halle;Ado_ver_Hal;2022;74;74;81;89;80;111;30;NA;NA;124;294;100;294;NA
Adonis vernalis;Frankfurt;Ado_ver_Fra;2022;96;96;96;96;5;103;7;NA;NA;229;243;100;362;NA
Adonis vernalis;Berlin;Ado_ver_Ber;2022;54;95;81;109;90;124;43;NA;NA;109;193;70;193;NA
Aegopodium podagraria;Potsdam;Aeg_pod_Pot;2022;55;82;144;160;100;174;30;187;201;201;355;100;355;NA
Aegopodium podagraria;Berlin;Aeg_pod_Ber;2022;NA;46;152;159;90;172;20;193;291;179;298;60;298;NA
Aegopodium podagraria;Prague;Aeg_pod_Pra;2022;62;69;160;167;60;167;7;NA;NA;244;272;50;328;NA
Aegopodium podagraria;Halle;Aeg_pod_Hal;2022;54;54;NA;NA;NA;NA;NA;NA;NA;153;11;100;312;NA
Aegopodium podagraria;Jena;Aeg_pod_Jen;2022;54;61;144;158;80;173;29;187;272;180;342;100;354;NA
Aegopodium podagraria;Frankfurt;Aeg_pod_Fra;2022;54;54;145;152;75;166;21;201;208;201;327;100;327;NA
